Country,Democratic_Score,Political_Rights,Civil_Liberties,GDPPC
Afghanistan,27,13,14,551.865
Albania,66,27,39,5223.8092
Algeria,32,10,22,4114.7061
Andorra,93,38,55,42051.5954
Angola,31,10,21,3437.2955
Antigua and Barbuda,85,33,52,16726.9808
Argentina,84,35,49,11687.598
Armenia,55,22,33,4212.1331
Australia,97,40,57,58392.7091
Austria,93,37,56,51230.2753
Azerbaijan,10,2,8,4717.7198
Bahrain,12,2,10,24133.5493
Bangladesh,39,15,24,1670.7964
Barbados,95,38,57,17745.8678
Belarus,11,2,9,6311.7181
Belgium,96,39,57,47292.9671
Belize,87,34,53,4884.7424
Benin,65,21,44,906.5387
Bhutan,61,30,31,3523.7995
Bolivia,66,27,39,3548.5902
Bosnia and Herzegovina,53,19,34,5951.3828
Botswana,72,28,44,8258.2268
Brazil,74,31,43,8920.7005
Brunei,28,7,21,31627.2331
Bulgaria,78,33,45,9387.8134
Burkina Faso,54,23,31,820.1744
Burundi,14,4,10,293.9633
Cabo Verde,92,38,54,3635.4077
Cambodia,24,5,19,1512.1273
Cameroon,16,7,9,1534.492
Canada,98,40,58,46192.3751
Central African Republic,9,3,6,480.7094
Chad,17,3,14,735.7297
Chile,93,38,55,15923.3587
China,9,-2,11,9531.8691
Colombia,65,29,36,6649.6355
Comoros,42,16,26,1400.5282
Costa Rica,91,38,53,12026.5475
Croatia,85,36,49,14674.0231
Cuba,13,1,12,8821.822
Cyprus,94,38,56,28967.5767
Czech Republic,91,36,55,22992.0598
Côte d'Ivoire,44,16,28,1716.3693
Democratic Republic of the Congo,20,5,15,560.8074
Denmark,97,40,57,61833.7135
Djibouti,24,5,19,3048.5895
Dominica,93,37,56,7691.3451
Dominican Republic,67,26,41,7650.09
Ecuador,67,27,40,6344.8716
Egypt,18,6,12,2537.5122
El Salvador,63,30,33,4058.2426
Equatorial Guinea,5,0,5,10179.2297
Eritrea,2,1,1,1985.4283
Estonia,94,38,56,23241.8886
Eswatini,19,1,18,4145.6537
Ethiopia,22,9,13,735.1145
Fiji,60,24,36,6267.0286
Finland,100,40,60,50135.7207
France,90,38,52,41358.0856
Gabon,22,3,19,8018.8164
Georgia,60,23,37,4396.6668
Germany,94,39,55,47513.7021
Ghana,82,35,47,2201.5844
Greece,87,37,50,20731.2043
Grenada,89,37,52,10485.906
Guatemala,52,21,31,4549.0201
Guinea,38,14,24,937.5969
Guinea-Bissau,44,17,27,778.3525
Guyana,73,30,43,4900.755
Haiti,37,15,22,834.9472
Honduras,44,19,25,2500.1098
Hong Kong*,52,15,37,49199.0372
Hungary,69,26,43,16264.0154
Iceland,94,37,57,76867.2988
India,67,34,33,2054.7573
Indonesia,59,30,29,3893.4927
Iran,16,6,10,5783.4949
Iraq,29,16,13,5523.079
Ireland,97,39,58,79414.6045
Israel,76,33,43,44214.9104
Italy,90,36,54,34388.5127
Jamaica,80,34,46,5354.2533
Japan,96,40,56,39082.0551
Jordan,34,11,23,4237.7961
Kazakhstan,23,5,18,9789.5042
Kenya,48,19,29,1710.4747
Kiribati,93,37,56,1627.3609
Kosovo,54,23,31,4452.5774
Kuwait,37,14,23,34248.8417
Kyrgyzstan,28,4,24,1283.7557
Laos,13,2,11,2542.4898
Latvia,89,37,52,17851.5801
Lebanon,43,13,30,8223.6578
Lesotho,63,27,36,1248.0216
Liberia,60,27,33,440.2523
Libya,9,1,8,5147.3338
Liechtenstein,90,33,57,179258.2466
Lithuania,90,38,52,19082.5178
Luxembourg,97,38,59,117369.5405
Madagascar,60,27,33,527.3966
Malawi,66,29,37,396.6315
Malaysia,51,21,30,11373.3472
Maldives,40,19,21,10330.5906
Mali,33,9,24,900.0966
Malta,90,35,55,33122.7994
Marshall Islands,93,38,55,3666.8978
Mauritania,35,14,21,1730.439
Mauritius,87,37,50,11221.9824
Mexico,61,27,34,9694.8515
Micronesia,92,37,55,3296.3636
Monaco,83,26,57,185835.0163
Mongolia,84,36,48,4103.6872
Montenegro,63,24,39,8771.6876
Morocco,37,13,24,3272.9484
Mozambique,43,14,29,498.9407
Myanmar,28,13,15,1354.4454
Namibia,77,31,46,5930.0688
Nauru,77,34,43,11875.8617
Nepal,56,25,31,990.5566
Netherlands,98,40,58,53583.1433
New Zealand,99,40,59,43836.1525
Nicaragua,30,10,20,2028.9007
Niger,48,20,28,571.2738
Nigeria,45,21,24,2153.5265
North Korea,3,0,3,687.9432
Norway,100,40,60,81335.6512
Oman,23,6,17,19072.7796
Pakistan,37,15,22,1330.3863
Palau,92,37,55,15859.4335
Panama,83,35,48,15575.0828
Papua New Guinea,62,23,39,2681.4253
Paraguay,65,28,37,5794.5756
Peru,71,29,42,6947.2501
Philippines,56,25,31,3102.727
Poland,82,34,48,15444.0012
Portugal,96,39,57,23477.728
Qatar,25,7,18,68793.6608
Republic of the Congo,20,2,18,2702.5588
Moldova,61,26,35,2791.0344
Romania,83,35,48,12280.842
Russia,20,5,15,11394.1409
Rwanda,21,8,13,773.0471
Samoa,81,30,51,4249.574
San Marino,93,38,55,48472.7126
Saudi Arabia,7,1,6,23217.1961
Senegal,71,29,42,1501.7214
Serbia,64,22,42,7208.7799
Seychelles,77,34,43,16377.8556
Sierra Leone,65,28,37,536.1105
Singapore,48,19,29,62720.8796
Slovakia,90,37,53,19430.7907
Slovenia,95,39,56,26005.0998
Solomon Islands,79,30,49,1946.8976
Somalia,7,1,6,99.5764
South Africa,79,33,46,6369.2316
South Korea,83,33,50,33621.8795
South Sudan,2,-2,4,747.7171
Spain,90,37,53,30405.8331
Sri Lanka,56,23,33,4189.6877
St. Kitts and Nevis,89,35,54,19275.4185
St. Lucia,91,37,54,10566.0498
St. Vincent and the Grenadines,91,36,55,7361.3342
Sudan,17,2,15,1208.4407
Suriname,79,34,45,6003.7184
Sweden,100,40,60,55766.8147
Switzerland,96,39,57,82708.5144
Syria,1,-3,4,981.3018
Tajikistan,8,0,8,826.6202
Tanzania,34,12,22,1044.0622
Thailand,30,5,25,7273.5649
Timor-Leste,72,33,39,2035.5307
Togo,43,15,28,654.7589
Tonga,79,30,49,4885.8125
Trinidad and Tobago,82,33,49,17130.3398
Tunisia,71,32,39,3449.581
Turkey,32,16,16,9367.9169
Turkmenistan,2,0,2,6964.613
Tuvalu,93,37,56,4000.6208
Uganda,34,11,23,704.3946
Ukraine,60,26,34,2956.9215
United Arab Emirates,17,5,12,43004.9534
United Kingdom,93,39,54,42526.439
United States,83,32,51,62917.9395
Uruguay,98,40,58,17278.0621
Uzbekistan,11,2,9,1554.9803
Vanuatu,82,33,49,3037.2152
Venezuela,14,1,13,7212.1586
Vietnam,19,3,16,2563.1759
Yemen,11,1,10,935.8881
Zambia,52,20,32,1572.344
Zimbabwe,28,11,17,1683.7658
